City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Moose Factory,CA,2021-03-28 01:42:02,51.2585,-80.6094,21.2,73,1,9.22,clear sky
236,Samarai,PG,2021-03-28 01:42:03,-10.6167,150.6667,84.78,74,80,14.65,broken clouds
237,Trinidad,BO,2021-03-28 01:42:03,-14.8333,-64.9,74.37,94,100,0.47,overcast clouds
238,Praya,CV,2021-03-28 01:41:41,14.9215,-23.5087,68.0,73,40,27.63,scattered clouds
239,Tomatlan,MX,2021-03-28 01:42:03,19.9333,-105.25,68.22,65,100,0.87,overcast clouds
240,Georgetown,MY,2021-03-28 01:40:18,5.4112,100.3354,84.0,83,20,3.44,few clouds
241,Evensk,RU,2021-03-28 01:42:04,61.95,159.2333,11.26,68,27,4.05,scattered clouds
242,Tyret Pervaya,RU,2021-03-28 01:42:04,53.6703,102.3106,24.12,84,48,8.5,scattered clouds
243,Weihai,CN,2021-03-28 01:42:05,37.5017,122.1136,52.75,74,85,9.6,overcast clouds
244,Awjilah,LY,2021-03-28 01:42:05,29.1081,21.2869,52.83,46,0,5.73,clear sky
245,Dhidhdhoo,MV,2021-03-28 01:42:05,6.8833,73.1,81.95,76,86,14.16,overcast clouds
246,Prainha,BR,2021-03-28 01:42:06,-1.8,-53.48,72.79,97,80,2.84,broken clouds
247,Andenes,NO,2021-03-28 01:42:06,69.3143,16.1194,37.0,93,75,18.41,broken clouds
248,Muisne,EC,2021-03-28 01:42:07,0.6,-80.0333,76.06,84,69,0.69,broken clouds
249,Shubarkuduk,KZ,2021-03-28 01:42:07,49.1447,56.4872,25.59,93,100,8.23,overcast clouds
250,Luangwa,ZM,2021-03-28 01:42:07,-15.6167,30.4167,69.64,94,88,2.66,light rain
251,Yulara,AU,2021-03-28 01:42:08,-25.2406,130.9889,82.4,51,97,11.5,overcast clouds
252,Balikpapan,ID,2021-03-28 01:42:08,-1.2675,116.8289,79.14,79,100,1.68,moderate rain
253,Berlevag,NO,2021-03-28 01:42:08,70.8578,29.0864,36.64,91,100,18.59,overcast clouds
254,San Patricio,US,2021-03-28 01:42:09,28.017,-97.5169,75.99,88,75,23.02,haze
255,Xiangfan,CN,2021-03-28 01:42:09,32.0422,112.1448,67.41,66,0,6.55,clear sky
256,Smithers,CA,2021-03-28 01:42:09,54.7804,-127.1743,39.2,81,90,11.5,snow
257,Shenjiamen,CN,2021-03-28 01:42:10,29.9576,122.298,58.01,88,32,6.71,scattered clouds
258,Lebu,CL,2021-03-28 01:42:10,-37.6167,-73.65,55.74,87,0,18.41,clear sky
259,Carora,VE,2021-03-28 01:42:10,10.1755,-70.0827,74.37,67,100,11.86,overcast clouds
260,Sompeta,IN,2021-03-28 01:42:11,18.9333,84.6,83.82,53,0,7.85,clear sky
